"","stimulus","context","response","longWord","shortWord","order","workerid"
"119","LongShort 22","neut","short","carbohydrates","carbs","longfirst",3
"120","LongShort 25","neut","short","gasoline","gas","shortfirst",3
"121","LongShort 33","supp","long","milkshake","shake","shortfirst",4
"122","LongShort 23","neut","long","advertisement","ad","longfirst",4
"123","LongShort 15","supp","long","cockroach","roach","shortfirst",4
"124","LongShort 35","supp","short","hamburger","burger","longfirst",4
"125","LongShort 20","supp","long","chemotherapy","chemo","shortfirst",4
"126","LongShort 30","supp","short","identification","ID","longfirst",4
"127","LongShort 36","neut","short","quadriceps","quads","longfirst",4
"128","LongShort 24","supp","long","air conditioning","A/C","longfirst",4
"129","LongShort 25","neut","short","gasoline","gas","shortfirst",4
"130","LongShort 2","neut","short","bicycle","bike","longfirst",4
"131","LongShort 11","neut","long","chimpanzee","chimp","longfirst",4
"132","LongShort 13","supp","short","limousine","limo","longfirst",4
"133","LongShort 19","neut","short","kilogram","kilo","shortfirst",4
"134","LongShort 40","neut","long","United Nations","U.N.","shortfirst",4
"135","LongShort 7","neut","short","fraternity","frat","longfirst",4
"136","LongShort 38","neut","short","emergency room","ER","longfirst",4
"137","LongShort 39","supp","short","United States","U.S.","longfirst",4
"138","LongShort 8","neut","short","refrigerator","fridge","longfirst",4
"139","LongShort 31","supp","long","mayonnaise","mayo","shortfirst",4
"140","LongShort 18","neut","short","undergraduate","undergrad","shortfirst",4
"141","LongShort 6","supp","short","photograph","photo","shortfirst",4
"142","LongShort 10","neut","short","rhinoceros","rhino","shortfirst",4
"143","LongShort 22","neut","short","carbohydrates","carbs","longfirst",4
"144","LongShort 4","neut","short","dormitory","dorm","longfirst",4
"145","LongShort 16","neut","long","telephone","phone","longfirst",4
"146","LongShort 14","neut","long","saxophone","sax","longfirst",4
"147","LongShort 32","supp","short","Coca-Cola","Coke","longfirst",4
"148","LongShort 1","supp","short","mathematics","math","longfirst",4
"149","LongShort 21","neut","short","television","TV","longfirst",4
"150","LongShort 37","supp","short","quadrangle","quad","shortfirst",4
"151","LongShort 29","neut","short","Labrador","Lab","longfirst",4
"152","LongShort 27","neut","short","microphone","mic","shortfirst",4
"153","LongShort 5","neut","short","memorandum","memo","shortfirst",4
"154","LongShort 26","neut","short","United Kingdom","U.K.","longfirst",4
"155","LongShort 28","supp","short","laboratory","lab","longfirst",4
"156","LongShort 34","supp","short","veterinarian","vet","longfirst",4
"157","LongShort 3","neut","short","examination","exam","longfirst",4
"158","LongShort 9","supp","short","hippopotamus","hippo","longfirst",4
"159","LongShort 12","neut","short","pornography","porn","shortfirst",4
"160","LongShort 17","neut","short","referee","ref","shortfirst",4
"161","LongShort 31","supp","long","mayonnaise","mayo","longfirst",5
"162","LongShort 12","neut","long","pornography","porn","longfirst",5
"163","LongShort 24","neut","long","air conditioning","A/C","shortfirst",5
"164","LongShort 13","neut","long","limousine","limo","longfirst",5
"165","LongShort 30","neut","short","identification","ID","shortfirst",5
"166","LongShort 16","neut","long","telephone","phone","longfirst",5
"167","LongShort 17","neut","long","referee","ref","shortfirst",5
"168","LongShort 38","supp","long","emergency room","ER","shortfirst",5
"169","LongShort 1","neut","long","mathematics","math","longfirst",5
"170","LongShort 18","neut","short","undergraduate","undergrad","shortfirst",5
"171","LongShort 23","neut","short","advertisement","ad","shortfirst",5
"172","LongShort 6","neut","short","photograph","photo","shortfirst",5
"173","LongShort 37","supp","short","quadrangle","quad","shortfirst",5
"174","LongShort 20","supp","long","chemotherapy","chemo","longfirst",5
"175","LongShort 3","supp","short","examination","exam","longfirst",5
"176","LongShort 25","supp","short","gasoline","gas","shortfirst",5
"177","LongShort 34","supp","short","veterinarian","vet","shortfirst",5
"178","LongShort 14","supp","long","saxophone","sax","longfirst",5
"179","LongShort 5","supp","short","memorandum","memo","shortfirst",5
"180","LongShort 2","supp","long","bicycle","bike","shortfirst",5
"181","LongShort 36","neut","long","quadriceps","quads","longfirst",5
"182","LongShort 15","supp","long","cockroach","roach","shortfirst",5
"183","LongShort 10","neut","long","rhinoceros","rhino","longfirst",5
"184","LongShort 11","neut","long","chimpanzee","chimp","shortfirst",5
"185","LongShort 19","neut","long","kilogram","kilo","shortfirst",5
"186","LongShort 39","neut","long","United States","U.S.","longfirst",5
"187","LongShort 8","neut","short","refrigerator","fridge","shortfirst",5
"188","LongShort 33","neut","long","milkshake","shake","longfirst",5
"189","LongShort 4","supp","short","dormitory","dorm","shortfirst",5
"190","LongShort 22","supp","long","carbohydrates","carbs","shortfirst",5
"191","LongShort 21","supp","short","television","TV","shortfirst",5
"192","LongShort 40","supp","long","United Nations","U.N.","shortfirst",5
"193","LongShort 27","supp","long","microphone","mic","longfirst",5
"194","LongShort 7","supp","long","fraternity","frat","longfirst",5
"195","LongShort 32","neut","short","Coca-Cola","Coke","shortfirst",5
"196","LongShort 28","neut","long","laboratory","lab","longfirst",5
"197","LongShort 26","supp","short","United Kingdom","U.K.","longfirst",5
"198","LongShort 35","neut","short","hamburger","burger","longfirst",5
"199","LongShort 9","neut","short","hippopotamus","hippo","shortfirst",5
"200","LongShort 29","supp","long","Labrador","Lab","shortfirst",5
"201","LongShort 3","supp","short","examination","exam","shortfirst",6
"202","LongShort 21","supp","short","television","TV","shortfirst",6
"203","LongShort 14","neut","long","saxophone","sax","shortfirst",6
"204","LongShort 17","supp","long","referee","ref","shortfirst",6
"205","LongShort 26","supp","short","United Kingdom","U.K.","longfirst",6
"206","LongShort 29","supp","long","Labrador","Lab","longfirst",6
"207","LongShort 6","supp","long","photograph","photo","shortfirst",6
"208","LongShort 32","neut","long","Coca-Cola","Coke","longfirst",6
"209","LongShort 37","neut","short","quadrangle","quad","longfirst",6
"210","LongShort 39","neut","long","United States","U.S.","longfirst",6
"211","LongShort 12","neut","long","pornography","porn","shortfirst",6
"212","LongShort 23","neut","short","advertisement","ad","longfirst",6
"213","LongShort 33","supp","long","milkshake","shake","longfirst",6
"214","LongShort 22","neut","short","carbohydrates","carbs","shortfirst",6
"215","LongShort 35","supp","short","hamburger","burger","longfirst",6
"216","LongShort 28","neut","long","laboratory","lab","longfirst",6
"217","LongShort 30","supp","short","identification","ID","longfirst",6
"218","LongShort 36","neut","short","quadriceps","quads","longfirst",6
"219","LongShort 10","supp","long","rhinoceros","rhino","shortfirst",6
"220","LongShort 27","supp","short","microphone","mic","longfirst",6
"221","LongShort 16","supp","short","telephone","phone","longfirst",6
"222","LongShort 24","neut","short","air conditioning","A/C","longfirst",6
"223","LongShort 34","neut","short","veterinarian","vet","longfirst",6
"224","LongShort 2","neut","short","bicycle","bike","shortfirst",6
"225","LongShort 5","supp","short","memorandum","memo","shortfirst",6
"226","LongShort 1","supp","short","mathematics","math","longfirst",6
"227","LongShort 25","supp","short","gasoline","gas","shortfirst",6
"228","LongShort 4","neut","short","dormitory","dorm","shortfirst",6
"229","LongShort 18","neut","short","undergraduate","undergrad","longfirst",6
"230","LongShort 19","neut","short","kilogram","kilo","shortfirst",6
"231","LongShort 8","supp","short","refrigerator","fridge","longfirst",6
"232","LongShort 9","supp","short","hippopotamus","hippo","shortfirst",6
"233","LongShort 40","neut","long","United Nations","U.N.","longfirst",6
"234","LongShort 13","neut","short","limousine","limo","shortfirst",6
"235","LongShort 31","neut","long","mayonnaise","mayo","shortfirst",6
"236","LongShort 20","neut","short","chemotherapy","chemo","shortfirst",6
"237","LongShort 11","supp","long","chimpanzee","chimp","longfirst",6
"238","LongShort 15","supp","long","cockroach","roach","shortfirst",6
"239","LongShort 7","neut","long","fraternity","frat","shortfirst",6
"240","LongShort 38","supp","short","emergency room","ER","shortfirst",6
"241","LongShort 4","neut","short","dormitory","dorm","shortfirst",7
"242","LongShort 19","supp","short","kilogram","kilo","shortfirst",7
"243","LongShort 13","supp","long","limousine","limo","shortfirst",7
"244","LongShort 40","supp","long","United Nations","U.N.","shortfirst",7
"245","LongShort 33","neut","long","milkshake","shake","shortfirst",7
"246","LongShort 38","neut","long","emergency room","ER","longfirst",7
"247","LongShort 26","supp","short","United Kingdom","U.K.","longfirst",7
"248","LongShort 28","supp","short","laboratory","lab","longfirst",7
"249","LongShort 29","supp","short","Labrador","Lab","longfirst",7
"250","LongShort 37","supp","short","quadrangle","quad","longfirst",7
"251","LongShort 23","neut","long","advertisement","ad","longfirst",7
"252","LongShort 17","neut","long","referee","ref","longfirst",7
"253","LongShort 5","neut","short","memorandum","memo","longfirst",7
"254","LongShort 14","supp","long","saxophone","sax","longfirst",7
"255","LongShort 9","supp","long","hippopotamus","hippo","longfirst",7
"256","LongShort 30","supp","short","identification","ID","shortfirst",7
"257","LongShort 7","neut","short","fraternity","frat","shortfirst",7
"258","LongShort 10","supp","long","rhinoceros","rhino","shortfirst",7
"259","LongShort 27","supp","short","microphone","mic","shortfirst",7
"260","LongShort 35","neut","long","hamburger","burger","longfirst",7
"261","LongShort 20","supp","long","chemotherapy","chemo","shortfirst",7
"262","LongShort 6","neut","long","photograph","photo","longfirst",7
"263","LongShort 39","supp","long","United States","U.S.","longfirst",7
"264","LongShort 31","supp","short","mayonnaise","mayo","shortfirst",7
"265","LongShort 24","neut","short","air conditioning","A/C","shortfirst",7
"266","LongShort 11","neut","long","chimpanzee","chimp","longfirst",7
"267","LongShort 32","supp","short","Coca-Cola","Coke","longfirst",7
"268","LongShort 34","supp","short","veterinarian","vet","longfirst",7
"269","LongShort 21","neut","long","television","TV","shortfirst",7
"270","LongShort 3","neut","short","examination","exam","longfirst",7
"271","LongShort 22","supp","long","carbohydrates","carbs","shortfirst",7
"272","LongShort 36","neut","short","quadriceps","quads","longfirst",7
"273","LongShort 8","neut","long","refrigerator","fridge","longfirst",7
"274","LongShort 1","neut","short","mathematics","math","shortfirst",7
"275","LongShort 15","neut","long","cockroach","roach","longfirst",7
"276","LongShort 18","supp","short","undergraduate","undergrad","shortfirst",7
"277","LongShort 16","supp","short","telephone","phone","shortfirst",7
"278","LongShort 25","neut","short","gasoline","gas","longfirst",7
"279","LongShort 2","supp","long","bicycle","bike","longfirst",7
"280","LongShort 12","neut","long","pornography","porn","longfirst",7
"281","LongShort 39","neut","long","United States","U.S.","shortfirst",8
"282","LongShort 30","supp","short","identification","ID","longfirst",8
"283","LongShort 16","supp","short","telephone","phone","shortfirst",8
"284","LongShort 26","supp","long","United Kingdom","U.K.","longfirst",8
"285","LongShort 14","neut","long","saxophone","sax","longfirst",8
"286","LongShort 19","neut","long","kilogram","kilo","longfirst",8
"287","LongShort 25","supp","short","gasoline","gas","longfirst",8
"288","LongShort 10","supp","short","rhinoceros","rhino","longfirst",8
"289","LongShort 37","supp","short","quadrangle","quad","shortfirst",8
"290","LongShort 27","neut","long","microphone","mic","longfirst",8
"291","LongShort 8","supp","short","refrigerator","fridge","shortfirst",8
"292","LongShort 9","supp","short","hippopotamus","hippo","shortfirst",8
"293","LongShort 7","supp","long","fraternity","frat","longfirst",8
"294","LongShort 20","supp","long","chemotherapy","chemo","longfirst",8
"295","LongShort 5","supp","short","memorandum","memo","shortfirst",8
"296","LongShort 35","supp","long","hamburger","burger","longfirst",8
"297","LongShort 24","neut","long","air conditioning","A/C","longfirst",8
"298","LongShort 28","supp","short","laboratory","lab","longfirst",8
"299","LongShort 34","neut","long","veterinarian","vet","longfirst",8
"300","LongShort 6","supp","short","photograph","photo","longfirst",8
"301","LongShort 18","neut","long","undergraduate","undergrad","longfirst",8
"302","LongShort 32","supp","long","Coca-Cola","Coke","shortfirst",8
"303","LongShort 38","supp","long","emergency room","ER","shortfirst",8
"304","LongShort 33","neut","long","milkshake","shake","shortfirst",8
"305","LongShort 17","neut","long","referee","ref","longfirst",8
"306","LongShort 1","supp","short","mathematics","math","shortfirst",8
"307","LongShort 21","neut","short","television","TV","longfirst",8
"308","LongShort 2","neut","short","bicycle","bike","shortfirst",8
"309","LongShort 12","neut","long","pornography","porn","shortfirst",8
"310","LongShort 40","supp","long","United Nations","U.N.","longfirst",8
"311","LongShort 23","supp","long","advertisement","ad","longfirst",8
"312","LongShort 13","supp","short","limousine","limo","shortfirst",8
"313","LongShort 3","supp","short","examination","exam","longfirst",8
"314","LongShort 11","supp","short","chimpanzee","chimp","shortfirst",8
"315","LongShort 15","supp","long","cockroach","roach","shortfirst",8
"316","LongShort 36","neut","long","quadriceps","quads","shortfirst",8
"317","LongShort 29","supp","long","Labrador","Lab","longfirst",8
"318","LongShort 31","supp","long","mayonnaise","mayo","longfirst",8
"319","LongShort 4","supp","short","dormitory","dorm","longfirst",8
"320","LongShort 22","supp","long","carbohydrates","carbs","longfirst",8
"321","LongShort 6","neut","short","photograph","photo","shortfirst",9
"322","LongShort 28","supp","short","laboratory","lab","longfirst",9
"323","LongShort 23","supp","long","advertisement","ad","longfirst",9
"324","LongShort 3","neut","short","examination","exam","shortfirst",9
"325","LongShort 5","supp","long","memorandum","memo","shortfirst",9
"326","LongShort 16","supp","short","telephone","phone","longfirst",9
"327","LongShort 17","supp","short","referee","ref","longfirst",9
"328","LongShort 30","supp","short","identification","ID","shortfirst",9
"329","LongShort 20","neut","long","chemotherapy","chemo","shortfirst",9
"330","LongShort 7","neut","long","fraternity","frat","longfirst",9
"331","LongShort 15","supp","long","cockroach","roach","shortfirst",9
"332","LongShort 29","supp","short","Labrador","Lab","shortfirst",9
"333","LongShort 19","neut","long","kilogram","kilo","shortfirst",9
"334","LongShort 14","neut","long","saxophone","sax","longfirst",9
"335","LongShort 10","neut","long","rhinoceros","rhino","longfirst",9
"336","LongShort 33","neut","long","milkshake","shake","shortfirst",9
"337","LongShort 25","neut","short","gasoline","gas","shortfirst",9
"338","LongShort 8","supp","long","refrigerator","fridge","longfirst",9
"339","LongShort 1","supp","short","mathematics","math","longfirst",9
"340","LongShort 11","supp","long","chimpanzee","chimp","longfirst",9
"341","LongShort 26","supp","short","United Kingdom","U.K.","shortfirst",9
"342","LongShort 13","supp","short","limousine","limo","shortfirst",9
"343","LongShort 9","supp","short","hippopotamus","hippo","shortfirst",9
"344","LongShort 18","neut","short","undergraduate","undergrad","longfirst",9
"345","LongShort 34","supp","short","veterinarian","vet","longfirst",9
"346","LongShort 12","neut","long","pornography","porn","shortfirst",9
"347","LongShort 36","neut","short","quadriceps","quads","shortfirst",9
"348","LongShort 22","neut","short","carbohydrates","carbs","longfirst",9
"349","LongShort 27","neut","long","microphone","mic","shortfirst",9
"350","LongShort 40","neut","long","United Nations","U.N.","longfirst",9
"351","LongShort 37","supp","short","quadrangle","quad","shortfirst",9
"352","LongShort 35","neut","short","hamburger","burger","longfirst",9
"353","LongShort 4","neut","short","dormitory","dorm","shortfirst",9
"354","LongShort 32","neut","short","Coca-Cola","Coke","shortfirst",9
"355","LongShort 2","supp","short","bicycle","bike","shortfirst",9
"356","LongShort 38","neut","short","emergency room","ER","longfirst",9
"357","LongShort 31","supp","short","mayonnaise","mayo","shortfirst",9
"358","LongShort 24","neut","short","air conditioning","A/C","longfirst",9
"359","LongShort 21","supp","short","television","TV","longfirst",9
"360","LongShort 39","neut","short","United States","U.S.","longfirst",9
"361","LongShort 28","neut","long","laboratory","lab","longfirst",10
"362","LongShort 20","supp","long","chemotherapy","chemo","shortfirst",10
"363","LongShort 15","supp","long","cockroach","roach","longfirst",10
"364","LongShort 29","supp","short","Labrador","Lab","shortfirst",10
"365","LongShort 5","neut","short","memorandum","memo","shortfirst",10
"366","LongShort 24","supp","short","air conditioning","A/C","shortfirst",10
"367","LongShort 38","neut","long","emergency room","ER","longfirst",10
"368","LongShort 23","supp","short","advertisement","ad","shortfirst",10
"369","LongShort 39","neut","long","United States","U.S.","longfirst",10
"370","LongShort 25","supp","short","gasoline","gas","shortfirst",10
"371","LongShort 13","supp","long","limousine","limo","longfirst",10
"372","LongShort 21","neut","long","television","TV","longfirst",10
"373","LongShort 14","supp","long","saxophone","sax","longfirst",10
"374","LongShort 35","neut","long","hamburger","burger","longfirst",10
"375","LongShort 3","supp","short","examination","exam","longfirst",10
"376","LongShort 10","supp","long","rhinoceros","rhino","longfirst",10
"377","LongShort 4","supp","long","dormitory","dorm","longfirst",10
"378","LongShort 17","neut","long","referee","ref","shortfirst",10
"379","LongShort 22","supp","short","carbohydrates","carbs","longfirst",10
"380","LongShort 16","supp","short","telephone","phone","shortfirst",10
"381","LongShort 8","neut","short","refrigerator","fridge","longfirst",10
"382","LongShort 11","neut","long","chimpanzee","chimp","longfirst",10
"383","LongShort 32","neut","short","Coca-Cola","Coke","shortfirst",10
"384","LongShort 26","neut","long","United Kingdom","U.K.","longfirst",10
"385","LongShort 12","supp","long","pornography","porn","longfirst",10
"386","LongShort 36","neut","long","quadriceps","quads","longfirst",10
"387","LongShort 2","supp","long","bicycle","bike","shortfirst",10
"388","LongShort 1","neut","short","mathematics","math","longfirst",10
"389","LongShort 19","supp","long","kilogram","kilo","shortfirst",10
"390","LongShort 18","neut","long","undergraduate","undergrad","longfirst",10
"391","LongShort 6","neut","long","photograph","photo","longfirst",10
"392","LongShort 9","neut","long","hippopotamus","hippo","longfirst",10
"393","LongShort 27","supp","short","microphone","mic","longfirst",10
"394","LongShort 33","neut","short","milkshake","shake","longfirst",10
"395","LongShort 34","supp","short","veterinarian","vet","longfirst",10
"396","LongShort 37","supp","short","quadrangle","quad","longfirst",10
"397","LongShort 30","neut","short","identification","ID","shortfirst",10
"398","LongShort 31","supp","short","mayonnaise","mayo","shortfirst",10
"399","LongShort 40","neut","short","United Nations","U.N.","shortfirst",10
"400","LongShort 7","supp","long","fraternity","frat","shortfirst",10
"401","LongShort 21","neut","short","television","TV","longfirst",11
"402","LongShort 16","neut","short","telephone","phone","shortfirst",11
"403","LongShort 15","supp","long","cockroach","roach","longfirst",11
"404","LongShort 23","supp","long","advertisement","ad","shortfirst",11
"405","LongShort 6","neut","long","photograph","photo","shortfirst",11
"406","LongShort 14","neut","long","saxophone","sax","shortfirst",11
"407","LongShort 11","neut","long","chimpanzee","chimp","longfirst",11
"408","LongShort 28","supp","short","laboratory","lab","shortfirst",11
"409","LongShort 22","supp","short","carbohydrates","carbs","shortfirst",11
"410","LongShort 1","supp","short","mathematics","math","shortfirst",11
"411","LongShort 31","neut","short","mayonnaise","mayo","longfirst",11
"412","LongShort 12","neut","long","pornography","porn","shortfirst",11
"413","LongShort 17","neut","long","referee","ref","shortfirst",11
"414","LongShort 20","supp","long","chemotherapy","chemo","longfirst",11
"415","LongShort 34","neut","long","veterinarian","vet","longfirst",11
"416","LongShort 32","supp","short","Coca-Cola","Coke","shortfirst",11
"417","LongShort 18","supp","short","undergraduate","undergrad","shortfirst",11
"418","LongShort 38","neut","long","emergency room","ER","longfirst",11
"419","LongShort 24","neut","long","air conditioning","A/C","longfirst",11
"420","LongShort 37","supp","short","quadrangle","quad","longfirst",11
"421","LongShort 7","neut","long","fraternity","frat","longfirst",11
"422","LongShort 10","supp","long","rhinoceros","rhino","longfirst",11
"423","LongShort 4","neut","short","dormitory","dorm","longfirst",11
"424","LongShort 39","neut","long","United States","U.S.","longfirst",11
"425","LongShort 2","neut","short","bicycle","bike","shortfirst",11
"426","LongShort 5","supp","short","memorandum","memo","shortfirst",11
"427","LongShort 13","supp","short","limousine","limo","shortfirst",11
"428","LongShort 29","neut","short","Labrador","Lab","longfirst",11
"429","LongShort 36","neut","short","quadriceps","quads","longfirst",11
"430","LongShort 25","neut","long","gasoline","gas","longfirst",11
"431","LongShort 33","neut","long","milkshake","shake","shortfirst",11
"432","LongShort 40","supp","long","United Nations","U.N.","shortfirst",11
"433","LongShort 35","neut","short","hamburger","burger","shortfirst",11
"434","LongShort 30","neut","long","identification","ID","longfirst",11
"435","LongShort 26","neut","long","United Kingdom","U.K.","longfirst",11
"436","LongShort 9","neut","long","hippopotamus","hippo","longfirst",11
"437","LongShort 19","neut","short","kilogram","kilo","longfirst",11
"438","LongShort 27","neut","long","microphone","mic","longfirst",11
"439","LongShort 3","neut","short","examination","exam","shortfirst",11
"440","LongShort 8","supp","short","refrigerator","fridge","longfirst",11
"441","LongShort 23","neut","short","advertisement","ad","longfirst",12
"442","LongShort 39","neut","short","United States","U.S.","longfirst",12
"443","LongShort 27","supp","short","microphone","mic","longfirst",12
"444","LongShort 21","supp","short","television","TV","shortfirst",12
"445","LongShort 11","supp","long","chimpanzee","chimp","shortfirst",12
"446","LongShort 40","neut","short","United Nations","U.N.","longfirst",12
"447","LongShort 37","neut","short","quadrangle","quad","longfirst",12
"448","LongShort 38","neut","long","emergency room","ER","longfirst",12
